serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,8640,2662222,56487,0
C,18,18,0,binomial,8704,2679636,56888,0
C,18,18,0,binomial,8768,2698453,57347,0
C,18,18,0,binomial,8832,2717805,57803,0
C,18,18,0,binomial,8896,2736479,58253,0
C,18,18,0,binomial,8960,2754235,58650,0
C,18,18,0,binomial,9024,2771241,59070,0
C,18,18,0,binomial,9088,2789280,59479,0
C,18,18,0,binomial,9152,2807531,59943,0
C,18,18,0,binomial,9216,2828079,60426,0
C,18,18,0,binomial,9280,2844388,60803,0
C,18,18,0,binomial,9344,2862195,61225,0
C,18,18,0,binomial,9408,2881641,61688,0
C,18,18,0,binomial,9472,2900732,62116,0
C,18,18,0,binomial,9536,2918415,62583,0
C,18,18,0,binomial,9600,2937455,62992,0
C,18,18,0,binomial,9664,2957752,63457,0
C,18,18,0,binomial,9728,2974059,63854,0
C,18,18,0,binomial,9792,2992201,64298,0
C,18,18,0,binomial,9856,3010732,64727,0
C,18,18,0,binomial,9920,3036019,65211,0
C,18,18,0,binomial,9984,3055498,65653,0
C,18,18,0,binomial,10048,3071963,66068,0
C,18,18,0,binomial,10112,3090388,66503,0
C,18,18,0,binomial,10176,3110316,66961,0
C,18,18,0,binomial,10240,3128095,67400,0
C,18,18,0,binomial,10304,3144697,67791,0
C,18,18,0,binomial,10368,3162425,68198,0
C,18,18,0,binomial,10432,3179435,68582,0
C,18,18,0,binomial,10496,3196002,68986,0
C,18,18,0,binomial,10560,3215648,69412,0
C,18,18,0,binomial,10624,3232495,69854,0
C,18,18,0,binomial,10688,3248406,70229,0
C,18,18,0,binomial,10752,3264484,70647,0
C,18,18,0,binomial,10816,3284983,71098,0
C,18,18,0,binomial,10880,3304188,71556,0
C,18,18,0,binomial,10944,3323138,71995,0
C,18,18,0,binomial,11008,3341284,72400,0
C,18,18,0,binomial,11072,3360586,72810,0
C,18,18,0,binomial,11136,3379594,73225,0
C,18,18,0,binomial,11200,3399289,73669,0
C,18,18,0,binomial,11264,3418238,74095,0
C,18,18,0,binomial,11328,3437306,74555,0
C,18,18,0,binomial,11392,3454793,74978,0
C,18,18,0,binomial,11456,3473803,75384,0
C,18,18,0,binomial,11520,3491811,75836,0
C,18,18,0,binomial,11584,3516730,76325,0
C,18,18,0,binomial,11648,3533267,76744,0
C,18,18,0,binomial,11712,3554507,77210,0
C,18,18,0,binomial,11776,3570937,77605,0
C,18,18,0,binomial,11840,3589901,78036,0
C,18,18,0,binomial,11904,3608540,78482,0
C,18,18,0,binomial,11968,3624924,78896,0
C,18,18,0,binomial,12032,3642715,79349,0
C,18,18,0,binomial,12096,3659269,79771,0
C,18,18,0,binomial,12160,3678054,80212,0
C,18,18,0,binomial,12224,3696267,80638,0
