serie,i,j,rep,cola_ref,peso_ref,cola,peso,diferencia,ok
B,22,24,0,binomial,624595.188837,fibonacci,624595.188837,0,1
B,22,24,1,fibonacci,625654.814406,binomial,625654.814406,0,1
B,22,24,2,binomial,625381.656919,fibonacci,625381.656919,0,1
B,22,24,3,fibonacci,626258.784709,binomial,626258.784709,0,1
B,22,24,4,binomial,626101.146464,fibonacci,626101.146464,0,1
B,22,24,5,fibonacci,625722.011154,binomial,625722.011154,0,1
B,22,24,6,binomial,625831.541606,fibonacci,625831.541606,0,1
B,22,24,7,fibonacci,626053.984821,binomial,626053.984821,0,1
B,22,24,8,binomial,625754.553882,fibonacci,625754.553882,0,1
B,22,24,9,fibonacci,625344.265269,binomial,625344.265269,0,1
C,18,18,0,binomial,131276.92117,fibonacci,131276.92117,0,1
C,18,18,1,fibonacci,131019.781096,binomial,131019.781096,0,1
C,18,18,2,binomial,130919.117655,fibonacci,130919.117655,0,1
C,18,18,3,fibonacci,131065.651421,binomial,131065.651421,0,1
C,18,18,4,binomial,131238.935631,fibonacci,131238.935631,0,1
C,18,18,5,fibonacci,131087.885974,binomial,131087.885974,0,1
C,18,18,6,binomial,131217.483813,fibonacci,131217.483813,0,1
C,18,18,7,fibonacci,131123.909513,binomial,131123.909513,0,1
C,18,18,8,binomial,131194.77715,fibonacci,131194.77715,0,1
C,18,18,9,fibonacci,130948.361257,binomial,130948.361257,0,1
C,18,19,0,binomial,74926.7018371,fibonacci,74926.7018371,0,1
C,18,19,1,fibonacci,74927.7803505,binomial,74927.7803505,0,1
C,18,19,2,binomial,74919.5709002,fibonacci,74919.5709002,0,1
C,18,19,3,fibonacci,74887.8011121,binomial,74887.8011121,0,1
C,18,19,4,binomial,75057.1014454,fibonacci,75057.1014454,0,1
C,18,19,5,fibonacci,75187.6411328,binomial,75187.6411328,0,1
C,18,19,6,binomial,75004.5016501,fibonacci,75004.5016501,0,1
C,18,19,7,fibonacci,74831.9058377,binomial,74831.9058377,0,1
C,18,19,8,binomial,74923.6379345,fibonacci,74923.6379345,0,1
C,18,19,9,fibonacci,74867.189918,binomial,74867.189918,0,1
C,18,20,0,binomial,39054.0533322,fibonacci,39054.0533322,0,1
C,18,20,1,fibonacci,39161.9656506,binomial,39161.9656506,0,1
C,18,20,2,binomial,38870.6789193,fibonacci,38870.6789193,0,1
C,18,20,3,fibonacci,38989.3979583,binomial,38989.3979583,0,1
C,18,20,4,binomial,39252.0877983,fibonacci,39252.0877983,0,1
C,18,20,5,fibonacci,39093.1791381,binomial,39093.1791381,0,1
C,18,20,6,binomial,39088.1922736,fibonacci,39088.1922736,0,1
C,18,20,7,fibonacci,39199.4090505,binomial,39199.4090505,0,1
C,18,20,8,binomial,39041.2920829,fibonacci,39041.2920829,0,1
C,18,20,9,fibonacci,38944.174997,binomial,38944.174997,0,1
C,18,21,0,binomial,19589.9713505,fibonacci,19589.9713505,0,1
C,18,21,1,fibonacci,19733.7499136,binomial,19733.7499136,0,1
C,18,21,2,binomial,19666.7938946,fibonacci,19666.7938946,0,1
C,18,21,3,fibonacci,19637.0417471,binomial,19637.0417471,0,1
C,18,21,4,binomial,19672.3696104,fibonacci,19672.3696104,0,1
C,18,21,5,fibonacci,19756.3980882,binomial,19756.3980882,0,1
C,18,21,6,binomial,19741.541619,fibonacci,19741.541619,0,1
C,18,21,7,fibonacci,19624.8107647,binomial,19624.8107647,0,1
C,18,21,8,binomial,19747.4573351,fibonacci,19747.4573351,0,1
C,18,21,9,fibonacci,19711.2235369,binomial,19711.2235369,0,1
C,18,22,0,binomial,9855.08935581,fibonacci,9855.08935581,0,1
C,18,22,1,fibonacci,9869.85735716,binomial,9869.85735716,0,1
